"class","Candidate","Endangered","Experimental Population, Non-Essential","Extinction","Original Data in Error - Erroneous Data","Original Data in Error - New Information Discovered","Original Data in Error - Taxonomic Revision","Proposed Endangered","Proposed Similarity of Appearance to a Threatened Taxon","Proposed Threatened","Recovery","Resolved Taxon","Similarity of Appearance to a Threatened Taxon","Species of Concern","Status Undefined","Threatened","Under Review in the Candidate or Petition Process","<NA>"
"Actinopterygii",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,10
"Amphibia",2,10,NA,NA,1,NA,NA,1,NA,NA,NA,29,NA,15,NA,14,31,215
"Andreaeopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Anopla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"Anthocerotopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
"Anthozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,201
"Arachnida",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,22,4,NA,1,313
"Ascidiacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"Asteroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"Aves",1,62,2,1,1,NA,NA,NA,NA,1,3,33,NA,110,8,17,11,772
"Bacillariophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"Bivalvia",5,45,18,NA,NA,NA,NA,1,NA,1,NA,6,NA,8,2,10,32,272
"Branchiopoda",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,1,NA,48
"Bryopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,255
"Calcarea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"Cephalaspidomorphi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,16
"Cephalopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
