"class","Candidate","Endangered","Experimental Population, Non-Essential","Extinction","Original Data in Error - Erroneous Data","Original Data in Error - New Information Discovered","Original Data in Error - Taxonomic Revision","Proposed Endangered","Proposed Similarity of Appearance to a Threatened Taxon","Proposed Threatened","Recovery","Resolved Taxon","Similarity of Appearance to a Threatened Taxon","Species of Concern","Status Undefined","Threatened","Under Review in the Candidate or Petition Process","<NA>"
"Actinopterygii",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,10
"Amphibia",2,9,NA,NA,1,NA,NA,1,NA,NA,NA,23,NA,12,NA,10,28,174
"Andreaeopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Anopla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Anthocerotopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"Anthozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,176
"Arachnida",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,19,4,NA,1,239
"Ascidiacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"Asteroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"Aves",1,52,2,NA,1,NA,NA,NA,NA,1,2,27,NA,91,7,16,11,582
"Bacillariophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"Bivalvia",5,45,18,NA,NA,NA,NA,1,NA,1,NA,5,NA,8,2,10,32,193
"Branchiopoda",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,39
"Bryopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,147
"Cephalaspidomorphi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,14
"Cephalopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"Chilopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"Chlorophyta incertae sedis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Chondrichthyes",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
"Chondrostei",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,2
"Clitellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Collembola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,48
"Conjugatophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
