"scientificname","commonname","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","change","listingStatus","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154"
"Accipiter gentilis","Northern Goshawk","Accipiter gentilis,Accipiter gentilus","Alaska,California,Colorado,Connecticut,Maryland,Michigan,Minnesota,Montana,Nevada,New Hampshire,New Jersey,New Mexico,New York,Oregon,Pennsylvania,Rhode Island,South Dakota,Utah,Vermont,Washington,West Virginia,Wisconsin,Wyoming","California,Colorado,Connecticut,Delaware,Maryland,Massachusetts,Michigan,Minnesota,Nevada,New Hampshire,New Jersey,New York,Pennsylvania,Rhode Island,South Dakota,Vermont,West Virginia,Wisconsin,Wyoming",23,19,4," ""STATUS"": ""RT""","{""DPS"": ""0"""," ""TSN"": ""175300"""," ""FAMILY"": ""Accipitridae"""," ""SPCODE"": ""B095"""," ""STATUS"": ""RT"""," ""result"": true"," ""COMNAME"": ""Northern goshawk"""," ""COUNTRY"": ""3"""," ""INVNAME"": ""Goshawk"," northern"""," ""SCINAME"": ""Accipiter gentilis"""," ""VIPCODE"": ""V01"""," ""criteria"": ""175300"""," ""ENTITY_ID"": ""6353"""," ""queryType"": ""TSN"""," ""dateCached"": ""2017-07-07T11:41:32.374652"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""2"""," ""listingStatus"": [{""STATUS"": ""Resolved Taxon"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Accipiter striatus","Sharp-shinned Hawk","Accipiter striatus","Alaska,California,Connecticut,Delaware,Indiana,Kentucky,Maryland,Massachusetts,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Rhode Island,Tennessee,West Virginia","Arkansas,Connecticut,Delaware,Indiana,Kentucky,Maryland,Missouri,Nebraska,New Jersey,Ohio,Pennsylvania,Tennessee",17,12,5," ""STATUS"": ""SC""","{""DPS"": ""0"""," ""TSN"": ""175304"""," ""FAMILY"": ""Accipitridae"""," ""SPCODE"": ""B0G3"""," ""STATUS"": ""SC"""," ""result"": true"," ""COMNAME"": ""Sharp shinned hawk"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Hawk"," Sharp shinned"""," ""SCINAME"": ""Accipiter striatus"""," ""VIPCODE"": ""V01"""," ""criteria"": ""175304"""," ""ENTITY_ID"": ""9554"""," ""queryType"": ""TSN"""," ""dateCached"": ""2017-07-07T14:19:44.159059"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""8"""," ""listingStatus"": [{""STATUS"": ""Species of Concern"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser fulvescens","Lake Sturgeon","Acipenser fulvescens","Alabama,Arkansas,Georgia,Illinois,Indiana,Iowa,Kentucky,Michigan,Minnesota,Missouri,Nebraska,New York,North Carolina,Ohio,Pennsylvania,Tennessee,Vermont,Wisconsin","Alabama,Arkansas,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,Nebraska,New York,Ohio,Pennsylvania,Tennessee,Vermont,Wisconsin",18,18,0," ""STATUS"": ""SC""","{""DPS"": ""0"""," ""TSN"": ""161071"""," ""FAMILY"": ""Acipenseridae"""," ""SPCODE"": ""E04X"""," ""STATUS"": ""SC"""," ""result"": true"," ""COMNAME"": ""Lake sturgeon"""," ""COUNTRY"": ""3"""," ""INVNAME"": ""Sturgeon"," lake"""," ""SCINAME"": ""Acipenser fulvescens"""," ""VIPCODE"": ""V01"""," ""criteria"": ""Acipenser fulvescens"""," ""ENTITY_ID"": ""2822"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-07-10T00:52:28.534323"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""3"""," ""listingStatus"": [{""STATUS"": ""Species of Concern"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser transmontanus","White Sturgeon","Acipenser transmontanus,Acipenser transmontanus 1,Acipenser transmontanus 2,Acipenser transmontanus pop.2","Alaska,California,Idaho,Montana","California,Idaho,Montana,Oregon,Washington",4,5,-1," ""STATUS"": ""E""","{""DPS"": ""1"""," ""TSN"": ""161068"""," ""FAMILY"": ""Acipenseridae"""," ""SPCODE"": ""E087"""," ""STATUS"": ""E"""," ""result"": true"," ""COMNAME"": ""White sturgeon"""," ""COUNTRY"": ""3"""," ""INVNAME"": ""Sturgeon"," white"""," ""SCINAME"": ""Acipenser transmontanus"""," ""VIPCODE"": ""V01"""," ""criteria"": ""Acipenser transmontanus"""," ""ENTITY_ID"": ""314"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-07-07T22:16:13.409959"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""1"""," ""listingStatus"": [{""STATUS"": ""Endangered"""," ""POP_DESC"": ""U.S.A. (ID"," MT)"," Canada (B.C.)"," (Kootenai R. system)"""," ""POP_ABBREV"": ""U.S.A. (ID"," MT)"," Canada (B.C.)"," Kootenai R. system"""," ""LISTING_DATE"": ""1994-09-06""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acroloxus coloradensis","Rocky Mountain capshell","Acroloxus coloradensis","Colorado,Montana","Colorado",2,1,1," ""STATUS"": ""RT""","{""DPS"": ""0"""," ""TSN"": ""76475"""," ""FAMILY"": ""Acroloxidae"""," ""SPCODE"": ""G05V"""," ""STATUS"": ""RT"""," ""result"": true"," ""COMNAME"": ""Rocky Mountain capshell"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Capshell"," Rocky Mountain"""," ""SCINAME"": ""Acroloxus coloradensis"""," ""VIPCODE"": ""I01"""," ""criteria"": ""Acroloxus coloradensis"""," ""ENTITY_ID"": ""1835"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-07-19T13:15:41.215193"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""6"""," ""listingStatus"": [{""STATUS"": ""Resolved Taxon"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aechmophorus occidentalis","Western Grebe","Aechmophorus occidentalis","Arizona,Colorado,Idaho,Kansas,Minnesota,Nebraska,Nevada,Washington,Wyoming","Arizona,Idaho,Kansas,Minnesota,Nebraska,Washington",9,6,3," ""STATUS"": ""SC""","{""DPS"": ""0"""," ""TSN"": ""174503"""," ""FAMILY"": ""podocopedidae"""," ""SPCODE"": ""B0EA"""," ""STATUS"": ""SC"""," ""result"": true"," ""COMNAME"": ""Western grebe"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""grebe"," Western"""," ""SCINAME"": ""aechmophorus occidentalis"""," ""VIPCODE"": ""V01"""," ""criteria"": ""174503"""," ""ENTITY_ID"": ""9208"""," ""queryType"": ""TSN"""," ""dateCached"": ""2017-07-07T14:19:19.466651"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""7"""," ""listingStatus"": [{""STATUS"": ""Species of Concern"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alasmidonta marginata","Elktoe","Alasmidonta marginaa,Alasmidonta marginata","Alabama,Arkansas,Georgia,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,New York,Ohio,Oklahoma,South Dakota,Tennessee,Vermont,Virginia,West Virginia","Alabama,Arkansas,Illinois,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,New York,Ohio,Oklahoma,Pennsylvania,South Dakota,Tennessee,Vermont,Virginia,West Virginia,Wisconsin",17,19,-2," ""STATUS"": ""SC""","{""DPS"": ""0"""," ""TSN"": ""79918"""," ""FAMILY"": ""Unionidae"""," ""SPCODE"": ""F03Q"""," ""STATUS"": ""SC"""," ""result"": true"," ""COMNAME"": ""[Unnamed] elktoe"""," ""COUNTRY"": ""3"""," ""INVNAME"": ""Elktoe"," [unnamed]"""," ""SCINAME"": ""Alasmidonta marginata"""," ""VIPCODE"": ""I01"""," ""criteria"": ""Alasmidonta marginata"""," ""ENTITY_ID"": ""3087"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-08-11T08:54:24.653262"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""6"""," ""listingStatus"": [{""STATUS"": ""Species of Concern"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aletes humilis","Larimer aletes","Aletes humilis","","Colorado",0,1,-1," ""STATUS"": ""SC""","{""DPS"": ""0"""," ""TSN"": ""29574"""," ""FAMILY"": ""Apiaceae"""," ""SPCODE"": ""Q24P"""," ""STATUS"": ""SC"""," ""result"": true"," ""COMNAME"": ""No common name"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""No common name"""," ""SCINAME"": ""Aletes humilis"""," ""VIPCODE"": ""P01"""," ""criteria"": ""29574"""," ""ENTITY_ID"": ""7897"""," ""queryType"": ""TSN"""," ""dateCached"": ""2017-07-07T14:09:50.904103"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""6"""," ""listingStatus"": [{""STATUS"": ""Species of Concern"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amblyderus werneri","Great Sand Dunes anthicid beetle","Amblyderus werneri","Colorado","Colorado",1,1,0," ""STATUS"": ""RT""","{""DPS"": ""0"""," ""TSN"": ""685510"""," ""FAMILY"": ""Anthicidae"""," ""SPCODE"": ""I0V2"""," ""STATUS"": ""RT"""," ""result"": true"," ""COMNAME"": ""Great Sand Dunes Anthicid Beetle"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Beetle"""," ""SCINAME"": ""Amblyderus werneri"""," ""VIPCODE"": ""I01"""," ""criteria"": ""685510"""," ""ENTITY_ID"": ""9571"""," ""queryType"": ""TSN"""," ""dateCached"": ""2017-07-07T15:17:09.294005"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""6"""," ""listingStatus"": [{""STATUS"": ""Resolved Taxon"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amblyscirtes linda","Linda's Roadside Skipper","Amblyscirtes linda","Arkansas,Illinois,Kansas,Oklahoma,Tennessee","Arkansas,Illinois,Kansas,Missouri,Oklahoma,Tennessee",5,6,-1," ""STATUS"": ""UR""","{""DPS"": ""0"""," ""TSN"": ""706577"""," ""FAMILY"": ""Hesperiidae"""," ""SPCODE"": ""I0WK"""," ""STATUS"": ""UR"""," ""result"": true"," ""COMNAME"": ""Linda's Roadside-skipper"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Roadside-skipper"," Linda's"""," ""SCINAME"": ""Amblyscirtes linda"""," ""VIPCODE"": ""I01"""," ""criteria"": ""706577"""," ""ENTITY_ID"": ""10745"""," ""queryType"": ""TSN"""," ""dateCached"": ""2017-07-07T11:53:24.337130"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""4"""," ""listingStatus"": [{""STATUS"": ""Under Review in the Candidate or Petition Process"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammodramus bairdii","Baird''s Sparrow","Ammodramus bairdii","Arizona,Kansas,Minnesota,Montana,New Mexico,North Dakota,Oklahoma,South Dakota,Texas","Arizona,Kansas,Minnesota,Nebraska,New Mexico,North Dakota,Oklahoma,South Dakota,Texas",9,9,0," ""STATUS"": ""RT""","{""DPS"": ""0"""," ""TSN"": ""179339"""," ""FAMILY"": ""Emberizidae"""," ""SPCODE"": ""B09B"""," ""STATUS"": ""RT"""," ""result"": true"," ""COMNAME"": ""Baird's sparrow"""," ""COUNTRY"": ""3"""," ""INVNAME"": ""Sparrow"," Baird's"""," ""SCINAME"": ""Ammodramus bairdii"""," ""VIPCODE"": ""V01"""," ""criteria"": ""Ammodramus bairdii"""," ""ENTITY_ID"": ""4341"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-07-18T16:49:31.436803"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""6"""," ""listingStatus"": [{""STATUS"": ""Resolved Taxon"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammodramus henslowii","Henslow''s Sparrow","Ammodramus henslowii","Alabama,Arkansas,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin","Alabama,Arkansas,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,Virginia,West Virginia,Wisconsin",30,29,1," ""STATUS"": ""RT""","{""DPS"": ""0"""," ""TSN"": ""179340"""," ""FAMILY"": ""Emberizidae"""," ""SPCODE"": ""B09D"""," ""STATUS"": ""RT"""," ""result"": true"," ""COMNAME"": ""Henslow's sparrow"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Sparrow"," Henslow's"""," ""SCINAME"": ""Ammodramus henslowii"""," ""VIPCODE"": ""V01"""," ""criteria"": ""179340"""," ""ENTITY_ID"": ""1276"""," ""queryType"": ""TSN"""," ""dateCached"": ""2017-07-07T11:42:15.283871"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""3"""," ""listingStatus"": [{""STATUS"": ""Resolved Taxon"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammodramus savannarum","Grasshopper Sparrow","Ammodramus savannarum","Arkansas,California,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Montana,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oregon,Puerto Rico,Rhode Island,South Carolina,Tennessee,Texas,Utah,Vermont,Virginia,West Virginia,Wisconsin,Wyoming","Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Idaho,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,New Hampshire,New Jersey,New York,North Dakota,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin,Wyoming",39,34,5," ""STATUS"": ""SC""","{""DPS"": ""0"""," ""TSN"": ""179333"""," ""FAMILY"": ""Emberizidae"""," ""SPCODE"": ""B0G0"""," ""STATUS"": ""SC"""," ""result"": true"," ""COMNAME"": ""Grasshopper Sparrow"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Sparrow"," Grasshopper"""," ""SCINAME"": ""Ammodramus savannarum"""," ""VIPCODE"": ""V01"""," ""criteria"": ""179333"""," ""ENTITY_ID"": ""9534"""," ""queryType"": ""TSN"""," ""dateCached"": ""2017-07-07T10:41:55.818382"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""1"""," ""listingStatus"": [{""STATUS"": ""Species of Concern"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
